ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
200.221.11.100,brahms.uol.com.br.,BR,,,,true,1.00,2020-03-04T04:51:10Z,2010-07-31T19:25:10Z
200.221.11.101,ravel.uol.com.br.,BR,,,,true,1.00,2020-03-04T04:51:15Z,2013-01-30T17:53:24Z
200.99.138.100,,BR,,,,false,0.77,2020-03-04T04:51:38Z,2014-12-27T00:14:46Z
200.99.138.103,,BR,,,,false,0.77,2020-03-04T04:51:39Z,2014-12-27T14:25:36Z
200.99.138.94,,BR,,,,false,0.76,2020-03-04T04:51:39Z,2014-12-27T14:26:20Z
200.206.27.138,200-206-27-138.ilha.softmicro.com.br.,BR,,,,false,0.57,2020-03-04T04:51:50Z,2014-12-29T11:23:18Z
177.69.12.241,177-069-012-241.static.ctbctelecom.com.br.,BR,São Paulo,,,true,1.00,2020-03-04T04:51:42Z,2014-12-29T11:30:51Z
177.52.232.7,,BR,São Paulo,Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2020-03-04T04:51:48Z,2014-12-29T11:30:57Z
177.184.131.54,,BR,Aracati,,,false,0.99,2020-03-04T04:51:59Z,2014-12-29T13:18:27Z
186.194.224.82,186.194.224.82.cabonnet.com.br.,BR,Presidente Prudente,,,false,0.95,2020-03-04T04:52:01Z,2014-12-29T13:31:11Z
187.61.9.42,cepa01.dominiotemporarioidc.com.,BR,,Microsoft DNS 6.0.6002 (1772487D),,false,1.00,2020-03-04T04:52:02Z,2014-12-29T13:38:23Z
186.237.202.26,smtp1.cbnribeirao.com.,BR,São Paulo,,,false,1.00,2020-03-04T04:52:25Z,2014-12-29T14:59:12Z
177.131.114.86,177-131-114-86.acessoline.net.br.,BR,Aguas de Chapeco,dnsmasq-2.78,,false,0.99,2020-03-04T04:52:28Z,2014-12-29T15:31:34Z
192.146.229.22,ns2.multivix.com.br.,BR,,,,false,1.00,2020-03-04T04:52:40Z,2014-12-29T16:34:38Z
201.71.226.147,147-226-71-201.vipway.net.br.,BR,Cubatao,,,false,0.57,2020-03-04T04:52:45Z,2014-12-29T17:27:08Z
179.191.86.162,mvx-179-191-86-162.mundivox.com.,BR,São Caetano do Sul,,,false,0.98,2020-03-04T04:52:46Z,2014-12-29T17:29:57Z
